sentiment_score,daily_return,volume_norm,volatility_5d,rsi_14,ma_ratio,sentiment_pos,sentiment_neg,signal
0.45,0.023,15.2,0.018,68.2,1.045,0.72,0.05,2
-0.32,-0.015,14.8,0.022,38.5,0.962,0.12,0.71,0
0.08,0.004,14.1,0.012,52.3,1.003,0.38,0.25,1
0.61,0.031,16.0,0.015,74.1,1.062,0.85,0.03,2
-0.55,-0.028,15.5,0.031,29.8,0.941,0.08,0.82,0
0.15,0.007,13.9,0.010,55.6,1.012,0.42,0.20,1
0.38,0.019,15.7,0.016,63.4,1.033,0.65,0.09,2
-0.24,-0.012,14.5,0.019,42.1,0.975,0.18,0.58,0
0.02,-0.001,13.2,0.008,50.2,0.998,0.33,0.30,1
0.52,0.027,15.9,0.020,71.3,1.054,0.79,0.06,2
-0.41,-0.021,15.1,0.025,35.7,0.957,0.10,0.75,0
0.11,0.005,14.3,0.011,53.8,1.006,0.40,0.23,1
0.67,0.034,16.2,0.014,76.8,1.071,0.88,0.02,2
-0.48,-0.024,15.3,0.028,32.4,0.948,0.07,0.79,0
0.22,0.011,14.7,0.013,57.9,1.019,0.48,0.17,1
0.43,0.022,15.6,0.017,66.7,1.041,0.70,0.07,2
-0.30,-0.014,14.9,0.021,40.3,0.967,0.14,0.67,0
0.05,0.002,13.5,0.009,51.4,1.001,0.35,0.28,1
0.58,0.029,16.1,0.016,73.2,1.059,0.82,0.04,2
-0.52,-0.026,15.4,0.029,30.9,0.944,0.09,0.81,0
0.18,0.009,14.0,0.011,56.1,1.015,0.45,0.19,1
0.35,0.018,15.5,0.018,62.1,1.030,0.62,0.10,2
-0.28,-0.013,14.6,0.020,43.6,0.970,0.16,0.62,0
0.09,0.004,13.8,0.010,52.9,1.004,0.37,0.26,1
0.64,0.032,16.0,0.015,75.4,1.066,0.87,0.03,2
-0.45,-0.023,15.2,0.026,33.8,0.952,0.08,0.77,0
0.25,0.012,14.8,0.013,59.2,1.022,0.51,0.15,1
0.40,0.020,15.7,0.016,65.3,1.037,0.68,0.08,2
-0.33,-0.016,14.9,0.022,39.1,0.964,0.13,0.70,0
0.07,0.003,13.6,0.009,51.8,1.002,0.36,0.27,1
